slot_number,sim_time,VM_type,NodeID,cost/node
428,335765,"Standard_NV24X,In-house server 2,In-house server 3,","n1,n26,n17,n20,n6,n3,n28,n32,n19,n33,n24,n27,n7,n25,n2,n8,n4,n34,n36,n18,n31,n14,n22,n10,n5,n30,n9,n11,n13,n15,n23,n16,n35,n12,n29,n21,",4.92875
429,336977,"Standard_NV24X,In-house server 2,In-house server 3,","n1,n26,n17,n20,n6,n28,n32,n19,n33,n24,n27,n4,n34,n36,n21,n29,n14,n5,n22,n10,n2,n8,n18,n31,n30,n9,n11,n13,n15,n23,n16,n3,n35,n12,n25,n7,",7.84227
430,338154,"Standard_NV24X,In-house server 2,In-house server 3,","n26,n17,n29,n21,n20,n6,n25,n7,n28,n32,n31,n18,n19,n33,n24,n27,n1,n4,n34,n36,n35,n14,n22,n5,n10,n2,n8,n30,n9,n11,n13,n15,n23,n16,n3,n37,n12,",7.98526
431,339366,"Standard_NV24X,In-house server 2,In-house server 3,","n20,n17,n27,n29,n21,n6,n25,n7,n3,n19,n24,n26,n35,n1,n36,n4,n34,n18,n31,n33,n32,n28,n14,n22,n5,n10,n2,n8,n30,n9,n11,n13,n15,n23,n16,n37,n12,",7.98194
432,340541,"Standard_NV24X,In-house server 2,In-house server 3,","n20,n17,n27,n29,n21,n6,n25,n7,n3,n19,n24,n26,n35,n1,n36,n4,n34,n18,n31,n33,n32,n28,n14,n22,n5,n10,n2,n8,n30,n9,n11,n13,n15,n23,n16,n37,n12,",7.73827
433,341181,"Standard_NV24X,In-house server 2,In-house server 3,","n27,n20,n29,n21,n17,n6,n3,n24,n19,n26,n35,n1,n7,n25,n2,n8,n36,n4,n34,n18,n31,n33,n32,n28,n13,n11,n30,n9,n10,n22,n5,n14,n12,n37,n15,n23,n16,",4.21471
434,341722,"Standard_NV24X,In-house server 2,In-house server 3,","n19,n27,n20,n17,n6,n3,n24,n26,n35,n1,n7,n25,n2,n8,n36,n4,n34,n18,n31,n33,n32,n28,n13,n11,n30,n9,n10,n22,n5,n14,n29,n21,n12,n37,n15,n23,n16,",3.57611
435,342903,"Standard_NV24X,In-house server 2,In-house server 3,","n27,n20,n29,n21,n6,n3,n24,n26,n35,n1,n17,n2,n8,n36,n4,n34,n19,n18,n31,n33,n32,n28,n25,n7,n15,n16,n23,n13,n11,n30,n9,n10,n22,n5,n14,n12,n37,",7.78328
436,343359,"Standard_NV24X,In-house server 2,In-house server 3,","n27,n29,n21,n19,n6,n3,n24,n26,n35,n1,n20,n17,n2,n8,n36,n4,n34,n18,n31,n33,n32,n28,n25,n7,n15,n16,n23,n13,n11,n30,n9,n10,n22,n5,n14,n12,n37,",2.99307
437,344155,"Standard_NV24X,In-house server 2,In-house server 3,","n27,n20,n29,n21,n6,n3,n24,n26,n35,n1,n17,n2,n8,n36,n4,n34,n19,n18,n31,n33,n32,n28,n25,n7,n15,n16,n23,n13,n11,n30,n9,n10,n22,n5,n14,n12,n37,",5.24029
438,344996,"Standard_NV24X,In-house server 2,In-house server 3,","n27,n29,n21,n19,n6,n3,n24,n26,n35,n1,n20,n17,n2,n8,n36,n4,n34,n18,n31,n33,n32,n28,n25,n7,n15,n16,n23,n13,n11,n30,n9,n10,n22,n5,n14,n12,n37,",5.51683
439,345386,"Standard_NV24X,In-house server 2,In-house server 3,","n26,n29,n21,n18,n31,n19,n6,n3,n15,n16,n23,n28,n32,n24,n27,n1,n20,n12,n37,n36,n17,n2,n8,n35,n13,n11,n33,n30,n9,n10,n5,n22,n14,n25,n7,n34,n4,",2.63254
440,345439,"In-house server 3,In-house server 2,Standard_NV24X,","n26,n29,n21,n18,n31,n19,n3,n6,n15,n16,n23,n28,n32,n24,n27,n1,n20,n12,n37,n36,n2,n8,n17,n35,n13,n11,n33,n30,n9,n10,n5,n22,n14,n25,n7,n34,n4,",0.354696
441,346566,"In-house server 3,In-house server 2,Standard_NV24X,","n26,n20,n18,n31,n21,n29,n6,n28,n32,n24,n27,n1,n19,n4,n34,n36,n7,n25,n2,n8,n17,n15,n23,n16,n3,n35,n13,n11,n33,n30,n9,n5,n10,n22,n14,n37,n12,",7.62992
442,346682,"In-house server 3,In-house server 2,Standard_NV24X,","n27,n19,n6,n29,n21,n3,n17,n24,n26,n35,n7,n25,n22,n14,n5,n10,n8,n2,n36,n18,n31,n33,n32,n28,n12,n37,n20,n1,n11,n13,n16,n15,n23,n30,n9,n34,n4,",0.787795
443,346909,"In-house server 3,In-house server 2,Standard_NV24X,","n27,n19,n6,n29,n21,n3,n17,n24,n26,n35,n7,n25,n22,n14,n5,n10,n8,n2,n36,n18,n31,n33,n32,n28,n12,n37,n20,n1,n11,n13,n16,n15,n23,n30,n9,n34,n4,",1.55557
444,347792,"In-house server 3,In-house server 2,Standard_NV24X,","n26,n27,n19,n6,n29,n21,n2,n8,n24,n7,n25,n3,n17,n35,n36,n4,n34,n18,n31,n33,n32,n28,n13,n11,n22,n14,n10,n5,n12,n37,n20,n1,n16,n15,n23,n30,n9,",5.97719
445,348921,"In-house server 3,In-house server 2,Standard_NV24X,","n19,n6,n33,n2,n8,n17,n24,n27,n26,n35,n7,n25,n21,n29,n28,n32,n3,n36,n4,n34,n18,n31,n37,n12,n13,n11,n16,n23,n15,n22,n14,n10,n5,n20,n1,n30,n9,",7.60524
446,348994,"In-house server 3,In-house server 2,Standard_NV24X,","n19,n27,n6,n21,n29,n17,n2,n8,n24,n26,n35,n7,n25,n3,n36,n4,n34,n18,n31,n33,n32,n28,n15,n16,n23,n13,n11,n22,n10,n5,n14,n12,n37,n20,n1,n30,n9,",0.505477
447,350258,"In-house server 3,In-house server 2,Standard_NV24X,","n19,n6,n17,n33,n7,n25,n28,n32,n24,n27,n26,n35,n3,n15,n23,n16,n36,n4,n34,n18,n31,n21,n29,n2,n8,n37,n12,n13,n11,n22,n10,n5,n14,n20,n1,n30,n9,",8.66005
448,350333,"In-house server 3,In-house server 2,Standard_NV24X,","n19,n6,n17,n33,n2,n8,n24,n27,n26,n35,n7,n25,n21,n29,n28,n32,n3,n15,n23,n16,n36,n4,n34,n18,n31,n37,n12,n13,n11,n22,n10,n5,n14,n20,n1,n30,n9,",0.503321
449,351135,"In-house server 3,In-house server 2,Standard_NV24X,","n6,n1,n33,n19,n3,n24,n27,n26,n35,n21,n29,n28,n32,n15,n16,n23,n17,n8,n2,n36,n4,n34,n18,n31,n37,n12,n13,n11,n22,n10,n5,n14,n20,n30,n9,n25,n7,",5.40032
450,351480,"In-house server 3,In-house server 2,Standard_NV24X,","n27,n6,n1,n19,n3,n24,n26,n35,n36,n4,n34,n21,n29,n2,n8,n28,n32,n15,n16,n23,n17,n18,n31,n33,n13,n11,n22,n10,n5,n14,n12,n37,n20,n30,n9,n25,n7,",2.32744
451,352690,"In-house server 3,In-house server 2,Standard_NV24X,","n27,n6,n1,n19,n3,n24,n26,n35,n36,n4,n34,n21,n29,n2,n8,n28,n32,n15,n16,n23,n17,n18,n31,n33,n13,n11,n22,n10,n5,n14,n12,n37,n20,n30,n9,n25,n7,",8.16453
452,353883,"Standard_NV24X,In-house server 2,In-house server 3,","n19,n6,n1,n3,n26,n35,n21,n29,n27,n24,n33,n18,n31,n8,n2,n36,n4,n34,n28,n32,n15,n16,n23,n17,n13,n11,n22,n10,n5,n14,n12,n37,n20,n30,n9,n25,n7,",8.02296
